"Name","Address","Location","Type","Beer_Count","Established","state","lat","lng"
"JRH Brewing","458 W Walnut Street, Johnson City, Tennessee, USA 37604","Johnson City","Microbrewery",8,2016,"Tennessee",36.3116432,-82.355418
"Jubilee Craft Beer Company","3430 Hampton Ave; Nashville, Tennessee, USA 37215","Nashville","Client Brewer",2,2010,"Tennessee",36.1626638,-86.7816016
"Last Days of Autumn Brewing","808 East Magnolia Ave, Knoxville, Tennessee, USA 37917","Knoxville","Microbrewery",48,2016,"Tennessee",35.9760225,-83.9146788
"Lilly Pad Hopyard Brewery","920 Ridge Road, Lancing, Tennessee, USA 37770","Lancing","Microbrewery",19,2017,"Tennessee",36.1031718,-84.7141765
"Little Harpeth Brewery","30 Oldham Street, Nashville, Tennessee, USA 37213","Nashville","Microbrewery",15,2014,"Tennessee",36.1741146,-86.7757955
"Mantra Artisan Ales","216 Noah Drive, Franklin, Tennessee, USA 37067","Franklin","Microbrewery",53,2015,"Tennessee",35.8946954,-86.8664219
"Mayday Brewery","702 Old Salem Hwy, Murfreesboro, Tennessee, USA 37129","Murfreesboro","Microbrewery",15,2012,"Tennessee",35.8456213,-86.39027
"McHale’s Brewhouse","724 Ashland Terrace, Chattanooga, Tennessee, USA 37415","Chattanooga","Brewpub",20,2011,"Tennessee",35.1163517,-85.2760543
"Memphis Made Brewing Company","768 S. Cooper Street, Memphis, Tennessee, USA 38104","Memphis","Microbrewery",13,2013,"Tennessee",35.1250291,-89.9904295
"Mill Creek Brewing Company","2008 B Johnson Industrial Blvd , Nolensville, Tennessee, USA 37135","Nolensville","Microbrewery",10,2014,"Tennessee",35.9557948,-86.6669658
"Moccasin Bend Brewing Company","3210 Broad St, Chattanooga, Tennessee, USA 37408","Chattanooga","Microbrewery",76,2006,"Tennessee",35.0180712,-85.3217319
"Monkey Town Brewing Company","287 First Ave, Dayton, Tennessee, USA 37321","Dayton","Brewpub",36,2015,"Tennessee",35.493024,-85.012955
"Nashville Brewing Company","2312 Clifton Ave Suite B, Nashville, TN 37209","Nashville","Client Brewer",2,2016,"Tennessee",36.1583713,-86.8101707
"New Heights Brewing Company","928 5th Ave S, Nashville, Tennessee, USA 37210","Nashville","Microbrewery",17,2016,"Tennessee",36.1491273,-86.7706252
"OddStory Brewing Company","336 E Martin Luther King Blvd, Chattanooga, Tennessee, USA 37403","Chattanooga","Microbrewery",29,2016,"Tennessee",35.0440162,-85.3042695
"Ole Shed Brewing Company","516 East Carroll Street, Tullahoma, Tennessee, USA 37388","Tullahoma","Microbrewery",9,2013,"Tennessee",35.36114,-86.197186
"O’Possum’s Pub","2341 Memorial Blvd, Murfreesboro, Tennessee, USA 37129","Murfreesboro","Brewpub",3,2016,"Tennessee",35.8870808,-86.3842274
"Perrylodgic Brewing Company","3465 Highway 79 N, Paris, Tennessee, USA 38242","Paris","Brewpub/Brewery",9,2014,"Tennessee",36.3320649,-88.2597947
"Quality Brewers","5151 East Raines Road, Memphis, TN 38118, USA","Memphis","Client Brewer",2,2013,"Tennessee",35.0328033,-89.8916583
"R. S. Lipman Brothers Company","411 Great Circle Road, Nashville, Tennessee, USA 37228","Nashville","Client Brewer",3,2015,"Tennessee",36.200272,-86.799321
"Red Silo Brewing Company","118 W. 1st St., Cookeville, Tennessee, USA 38501","Cookeville","Microbrewery",13,2016,"Tennessee",36.1652359,-85.5084478
"Rock Bottom Nashville","111 Broadway, Nashville, Tennessee, USA 37201","Nashville","Brewpub",20,2013,"Tennessee",36.161694,-86.774732
"Rock’n Dough Pizza and Brew Co.","16 Jackson Walk Plaza, Jackson, Tennessee, USA 38301","Jackson","Brewpub",5,2017,"Tennessee",35.616762,-88.82005
"Saw Works Brewing Company","708 East Depot Avenue, Knoxville, Tennessee, USA 37917","Knoxville","Microbrewery",37,2010,"Tennessee",35.9748068,-83.9145649
"Schulz Brau Brewing Company","126 Bernard Avenue, Knoxville, Tennessee, USA 37917","Knoxville","Brewpub/Brewery",13,2016,"Tennessee",35.977143,-83.92614
"Sleepy Owl Brewery","151 East Main Street, Kingsport, Tennessee, USA 37660","Kingsport","Microbrewery",6,2014,"Tennessee",36.5440528,-82.561266
"Smith & Lentz Brewing Company","903 Main Street, Nashville, Tennessee, USA 37206","Nashville","Microbrewery",39,2016,"Tennessee",36.176528,-86.756662
"Smoky Mountain Brewery & Restaurant","1004 Parkway #501, Gatlinburg, Tennessee, USA 37862","Gatlinburg","Brewpub",37,1996,"Tennessee",35.7075401,-83.5205704
"Southern Grist Brewing Company","1201 Porter Road, Nashville, Tennessee, USA 37206","Nashville","Microbrewery",91,2016,"Tennessee",36.1888079,-86.7287689
"Steel Barrel Brewery","Murfreesboro, Tennessee, USA 37129","Murfreesboro","Client Brewer",4,2017,"Tennessee",35.9173416,-86.4490926
"TailGate Beer","7300 Charlotte Pike, Nashville, Tennessee, USA 37209","Nashville","Client Brewer",104,2007,"Tennessee",36.119999,-86.919825
"Tennessee Brew Works","809 Ewing Ave, Nashville, Tennessee, USA 37203","Nashville","Microbrewery",32,2012,"Tennessee",36.1503497,-86.7762656
"Terminal BrewHouse","6 East 14th Street, Chattanooga, Tennessee, USA 37408","Chattanooga","Brewpub",36,2009,"Tennessee",35.0366114,-85.3070523
"Triple B Brewery","35 Wilcox Ct Ste 105, Kingsport, Tennessee, USA 37660","Kingsport","Microbrewery",4,2015,"Tennessee",36.5260031,-82.560888
"Turtle Anarchy Brewing Company","216 Noah Drive, Suite 140, Franklin, Tennessee, USA 37064","Franklin","Microbrewery",33,2012,"Tennessee",35.8946954,-86.8664219
"VonSeitz Theoreticales","Center Hill Lake, Tennessee, USA 37166","Center Hill Lake","Microbrewery",26,2017,"Tennessee",36.0281659,-85.7589743
"Wild Ginger Brewing Company","Nashville, Tennessee, USA ","Nashville","Client Brewer",4,2016,"Tennessee",36.1626638,-86.7816016
"Wiseacre Brewing","2783 Broad Avenue, Memphis, Tennessee, USA 38112-2834","Memphis","Microbrewery",56,2013,"Tennessee",35.1469596,-89.9687699
"Yazoo Brewing Company","910 Division St., Nashville, Tennessee, USA 37203","Nashville","Microbrewery",194,2003,"Tennessee",36.1626638,-86.7816016
"Yee-Haw Brewing Company","126 Buffalo Street, Johnson City, Tennessee, USA 37604","Johnson City","Microbrewery",13,2015,"Tennessee",36.3146218,-82.3535312
